"# of Use","Utilisation numéro #",,"# of Use",WAHR
"Get full information about custom option in product","Obtenez des renseignements complets sur l'option personnalisée dans le produit",,"Get full information about custom option in product",WAHR
"Get list of available custom option types","Obtenez la liste des types d'options personnalisées disponibles",,"Get list of available custom option types",WAHR
"Get list of non-default attributes by product type and attributes set","Obtenez une liste des attributs, autres que celui par défaut, par type de produits et ensemble d'attributs",,"Get list of non-default attributes by product type and attributes set",WAHR
"Get list of possible attribute types","Obtenir la liste des types d'attributs possibles",,"Get list of possible attribute types",WAHR
"Get special price","Obtenez un prix spécial",,"Get special price",WAHR
"Global","Global",,"Global",WAHR
"Globally Editable","Globalement modifiable",,"Globally Editable",WAHR
"Go to Home Page","Aller à la page d'accueil",,"Go to Home Page",WAHR
"Grid","Grille",,"Grid",WAHR
"Group Price","Group Price","+","Group Price",WAHR
"Group add","Groupe ajouter",,"Group add",WAHR
"Group remove","Suppression de groupe",,"Group remove",WAHR
"Grouped Product","Produits  groupés",,"Grouped Product",WAHR
"Groups","Groupes",,"Groups",WAHR
"Home","Accueil",,"Home",WAHR
"ID","ID",,"ID",WAHR
"ID: %s","Identifiant : %s",,"ID: %s",WAHR
"If empty, the Category Name will be used","Si vide, la catégorie Nom sera utilisé.",,"If empty, the Category Name will be used",WAHR
"If empty, the Product Name will be used","Si vide, le nom du produit sera utilisé",,"If empty, the Product Name will be used",WAHR
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Si vous ne précisez pas une valeur d'option pour une vue spécifique de boutique alors la valeur par défaut sera utilisée.",,"If you do not specify an option value for a specific store view then the default (Admin) value will be used.",WAHR
"Image","Image",,"Image",WAHR
"Image content is not valid base64 data.","Le contenu de l'image n'est pas valide à base64.",,"Image content is not valid base64 data.",WAHR
"Image does not exist.","L'image n'existe pas.",,"Image does not exist.",WAHR
"Image file was not found.","Fichier image introuvable.",,"Image file was not found.",WAHR
"Image type and information need to be specified for each store view.","Le type d'image et les informations doivent être précisés pour chaque vue de la boutique.",,"Image type and information need to be specified for each store view.",WAHR
"In Cart","Dans le panier",,"In Cart",WAHR
"In Stock","En stock.",,"In Stock",WAHR
"In stock","En stock",,"In stock",WAHR
"Incl. Tax","TTC",,"Incl. Tax",WAHR
"Index product and categories URL rewrites","Réécriture de l'index des produits et catégories",,"Index product and categories URL rewrites",WAHR
"Index product attributes for layered navigation building","Attributs de la navigation par couches de l'index des produits",,"Index product attributes for layered navigation building",WAHR
"Index product prices","Prix de l'index des produits",,"Index product prices",WAHR
"Indexed category/products association","Catégorie indexée/association de produits",,"Indexed category/products association",WAHR
"Info","Détails",,"Info",WAHR
"Info Column Options Wrapper","Colonne infos options enrouler",,"Info Column Options Wrapper",WAHR
"Input Type","Entrer le type",,"Input Type",WAHR
"Integer","Entier",,"Integer",WAHR
"Interval Division Limit","Limite de la division d'intervalle",,"Interval Division Limit",WAHR
"Invalid Tier Prices","Prix invalides",,"Invalid Tier Prices",WAHR
"Invalid attribute %s","Attribut %s invalide",,"Invalid attribute %s",WAHR
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Option d'attribut invalide spécifiée pour l'attribut %s (%s), enregistrement sauté.",,"Invalid attribute option specified for attribute %s (%s), skipping the record.",WAHR
"Invalid attribute set specified, skipping the record.","Attribut de l'ensemble spécifié non-valide, passer le dossier.",,"Invalid attribute set specified, skipping the record.",WAHR
"Invalid block: %s.","Bloc invalide : %s.",,"Invalid block: %s.",WAHR
"Invalid category IDs.","Identifiants de catégorie invalides.",,"Invalid category IDs.",WAHR
"Invalid category.","Catégorie non-valide.",,"Invalid category.",WAHR
"Invalid image file type.","Type de fichier image invalide.",,"Invalid image file type.",WAHR
"Invalid image type.","Type d'image non-valide.",,"Invalid image type.",WAHR
"Invalid option ID specified for %s (%s), skipping the record.","Identifiant de l'option invalide pour %s (%s), ignorer.",,"Invalid option ID specified for %s (%s), skipping the record.",WAHR
"Invalid product type specified, skipping the record.","Le type de produit spécifié n'est pas valide, passer le dossier.",,"Invalid product type specified, skipping the record.",WAHR
"Invalid store specified","Boutique spécifiée invalide",,"Invalid store specified",WAHR
"Invalid store specified, skipping the record.","Magasin spécifié invalide, enregistrement sauté.",,"Invalid store specified, skipping the record.",WAHR
"Invalid tier prices. The product is not associated to the requested website.","Niveau de prix non-valide. Le produit n'est pas associé au site demandé.",,"Invalid tier prices. The product is not associated to the requested website.",WAHR
"Inventory","Inventaire",,"Inventory",WAHR
"Is Default","Est par défaut",,"Is Default",WAHR
"Is Required","Est requis",,"Is Required",WAHR
"Items %s to %s of %s total","Éléments %s à %s sur un total de %s",,"Items %s to %s of %s total",WAHR
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les éléments que vous ne souhaitez pas afficher dans les résultats de recherche ou dans le catalogue devrait avoir le statut ""Désactivé"" dans le magasin souhaité.",,"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.",WAHR
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Objets que vous ne voulez pas afficher dans le catalogue ou les résultats de recherche doivent avoir le statut ""Désactivé"" dans la boutique en question.",,"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.",WAHR
"Keep your eyes open for our special Back to School items and save A LOT!","Gardez vos yeux ouverts pour nos articles spécialement destinés à la rentrée scolaire et économisez UN MAX !",,"Keep your eyes open for our special Back to School items and save A LOT!",WAHR
"Label","Label",,"Label",WAHR
"Last Name","Nom de famille",,"Last Name",WAHR
"Last Notification","Dernière notification",,"Last Notification",WAHR
"Layered Navigation","Navigation par couches",,"Layered Navigation",WAHR
"Learn More","En savoir plus",,"Learn More",WAHR
"Line %d, Email: %s","Ligne %d, email : %s",,"Line %d, Email: %s",WAHR
"Line %d, SKU: %s","Ligne %d, SKU : %s",,"Line %d, SKU: %s",WAHR
"Link (Related, Up sell, Cross sell)","Lien (lié, vente)",,"Link (Related, Up sell, Cross sell)",WAHR
"Link product does not exist.","Le lien du produit n'existe pas.",,"Link product does not exist.",WAHR
"Link to a Specified Category","Lien vers une catégorie précise",,"Link to a Specified Category",WAHR
"Link to a Specified Product","Lien vers un produit déterminé",,"Link to a Specified Product",WAHR
"List","Liste",,"List",WAHR
"List Mode","Mode liste",,"List Mode",WAHR
"List of Products that are set as New","Liste de produits nouveaux",,"List of Products that are set as New",WAHR
"List of types","Liste de types",,"List of types",WAHR
"Manage Attribute Sets","Gérer les jeux d'attributs",,"Manage Attribute Sets",WAHR
"Manage Attributes","Gérer attributs",,"Manage Attributes",WAHR
"Manage Catalog Categories","Gérer les catégories de catalogue",,"Manage Catalog Categories",WAHR
"Manage Categories","Gérer les catégories",,"Manage Categories",WAHR
"Manage Label / Options","Gérer les labels/options",,"Manage Label / Options",WAHR
"Manage Options (values of your attribute)","Gérer les options (valeurs de l'attribut)",,"Manage Options (values of your attribute)",WAHR
"Manage Product Attributes","Gérer les attributs de produit",,"Manage Product Attributes",WAHR
"Manage Product Sets","Gérer les jeux de produits",,"Manage Product Sets",WAHR
"Manage Products","Gérer les produits",,"Manage Products",WAHR
"Manage Stock","Gérer le stock",,"Manage Stock",WAHR
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc)",,"Manage Titles (Size, Color, etc.)",WAHR
"Manufacturer's Suggested Retail Price","Manufacturer's Suggested Retail Price","+","Manufacturer's Suggested Retail Price",WAHR
"Max Characters","Caractères max.",,"Max Characters",WAHR
"Maximal Depth","Profondeur maximale",,"Maximal Depth",WAHR
"Maximum Image Size","Taille maximum de l'image",,"Maximum Image Size",WAHR
"Maximum Number of Price Intervals","Nombre maximal d'intervalles de prix",,"Maximum Number of Price Intervals",WAHR
"Maximum Qty Allowed in Shopping Cart","Quantité maximum autorisée dans le panier",,"Maximum Qty Allowed in Shopping Cart",WAHR
"Maximum allowed image size for '%s' is %sx%s px.","La taille d'image maximale autorisée pour '%s' est %sx%sp px.",,"Maximum allowed image size for '%s' is %sx%s px.",WAHR
"Maximum image height","Hauteur maximale de l'image",,"Maximum image height",WAHR
"Maximum image width","Largeur maximale de l'image",,"Maximum image width",WAHR
"Maximum number of characters:","Nombre de caractères maximum :",,"Maximum number of characters:",WAHR
"Maximum number of price intervals is 100","Le nombre maximal d'intervalles de prix est de 100",,"Maximum number of price intervals is 100",WAHR
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels","+","Maximum width base product image will be scaled down to in pixels",WAHR
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels","+","Maximum width small product image will be scaled down to in pixels",WAHR
"Media Image","Image media",,"Media Image",WAHR
"Minimum Advertised Price","Prix minimum annoncés",,"Minimum Advertised Price",WAHR
"Minimum Lines per Page","Lignes minimum par page",,"Minimum Lines per Page",WAHR
"Minimum Qty Allowed in Shopping Cart","Quantité minimum autorisée dans le panier",,"Minimum Qty Allowed in Shopping Cart",WAHR
"Minimum Qty for Item\'s Status to be Out of Stock","Quantité minimum pour que le statut de l'article soit ""Rupture de stock""",,"Minimum Qty for Item\'s Status to be Out of Stock",WAHR
"Missing SKU, skipping the record.","SKU manquant, le dossier est sauté.",,"Missing SKU, skipping the record.",WAHR
"More Views","Plus de vues",,"More Views",WAHR
"Move","Déplacer",,"Move",WAHR
"Move category in tree","Déplacez la catégorie dans l'arbre",,"Move category in tree",WAHR
"Multi update product","Produit à plusieurs mises à jour",,"Multi update product",WAHR
"Must be in the allowed values list.","Doit être dans la liste des valeurs autorisées.",,"Must be in the allowed values list.",WAHR
"My Account","Mon compte",,"My Account",WAHR
"N/A","N/A",,"N/A",WAHR
"Name","Nom",,"Name",WAHR
"Name in %s","Nom dans %s",,"Name in %s",WAHR
"New Category","Nouvelle catégorie",,"New Category",WAHR
"New Product","Nouveau produit",,"New Product",WAHR
"New Product Attribute","Nouvel attribut de produit",,"New Product Attribute",WAHR
"New Products","Nouveaux produits",,"New Products",WAHR
"New Products Grid Template","Modèle de grille nouveaux produits",,"New Products Grid Template",WAHR
"New Products List Template","Modèle de liste nouveaux produits",,"New Products List Template",WAHR
"New Root Category","Nouvelle catégorie principale",,"New Root Category",WAHR
"New Search","Nouvelle recherche",,"New Search",WAHR
"New Set Name","Nouveau nom d'ensemble",,"New Set Name",WAHR
"New Subcategory","Nouvelle sous-catégorie",,"New Subcategory",WAHR
"New products","Nouveaux produits",,"New products",WAHR
"Next","Suivant",,"Next",WAHR
"No","Non",,"No",WAHR
"No image","Pas d'image",,"No image",WAHR
"No layout updates","Aucune mise à jour de mise en page",,"No layout updates",WAHR
"No options of this product are available.","Il n'y a pas d'options disponibles pour ce produit",,"No options of this product are available.",WAHR
"No product collections found.","Pas de collection de produits trouvée.",,"No product collections found.",WAHR
"None","aucun",,"None",WAHR
"Not Visible Individually","Pas visibles individuellement",,"Not Visible Individually",WAHR
"Notify Low Stock RSS","Notifier le faible stock dans le RSS",,"Notify Low Stock RSS",WAHR
"Notify for Quantity Below","Notifier pour les quantités en dessous de",,"Notify for Quantity Below",WAHR
"Nowhere","Nowhere","+","Nowhere",WAHR
"Number of Products per Page","Nombre de produits par page",,"Number of Products per Page",WAHR
"Number of Products to Display","Nombre de produits à afficher",,"Number of Products to Display",WAHR
"Number of Uses","Nombre d'utilisations",,"Number of Uses",WAHR
"Number of results","Nombre de résultats",,"Number of results",WAHR
"Number of results (For the last time placed)","Nombre de résultats (pour la dernière fois)",,"Number of results (For the last time placed)",WAHR
"Number of results<br/>(For the last time placed)","Nombre de résultats<br/>(pour la dernière fois)",,,FALSCH
"OK","OK",,"OK",WAHR
"OR","OU",,"OR",WAHR
"Old Price:","Ancien prix :",,"Old Price:",WAHR
"On Gesture","Par geste",,"On Gesture",WAHR
"Option validation failed to add product to cart.","Échec de l'ajout de la validation de l'option au panier.",,"Option validation failed to add product to cart.",WAHR
"Option values","Valeurs d'option",,"Option values",WAHR
"Option:","Option :",,"Option:",WAHR
"Options","Options",,"Options",WAHR
"Options Control","Contrôle de l'option",,"Options Control",WAHR
"Options is required","Option requise",,"Options is required",WAHR
"Our customer service is available 24/7. Call us at (555) 555-0123.","Notre service client est disponible 24 heures sur 24, 7 jours sur 7. Appelez-nous au (555) 555-0123.",,,FALSCH
"Out of Stock","En rupture de stock",,"Out of Stock",WAHR
"Out of stock","Epuisé",,"Out of stock",WAHR
"PM","PM",,"PM",WAHR
"Page Title Separator","Séparateur titre de la page",,"Page Title Separator",WAHR
"Parent Category","Catégorie parent",,"Parent Category",WAHR
"Pending","En cours",,"Pending",WAHR
"Pending Reviews RSS","RSS des avis en attente",,"Pending Reviews RSS",WAHR
"Percentage","Pourcentage",,"Percentage",WAHR
"Please add rows to option.","Veuillez ajouter des lignes à l'option.",,"Please add rows to option.",WAHR
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Veuillez faire attention : une fois que vous cliquez sur la ligne, les données du paquet sélectionné se chargeront et toutes les données non-enregistrées seront perdues.",,"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.",WAHR
"Please click on the Close Window button if it is not closed automatically.","Veuillez cliquer sur le bouton Fermer la fenêtre si celle-ci n'est pas fermée automatiquement.",,"Please click on the Close Window button if it is not closed automatically.",WAHR
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe",,"Please enter a new group name",WAHR
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Veuillez actualiser ""URL de réécriture du catalogue"" et ""Attributs de produits"" dans Système -> <a href=""%s"">Gestion de l'Index</a>",,"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>",WAHR
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Veuillez actualiser ""URL de réécriture du catalogue"" et ""Attributs de produits"" dans Système -> <a href=""%s"">Gestion de l'Index</a>",,"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>",WAHR
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Veuillez rafraîchir ""Attributs du produit"" dans l' <a href=""%s"">Index Management</a> du système",,"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>",WAHR
"Please select a static block ...","Veuillez sélectionner un bloc statique...",,"Please select a static block ...",WAHR
"Please select items.","Veuillez sélectionner des articles.",,"Please select items.",WAHR
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attribut(s).",,"Please select one or more attributes.",WAHR
"Please select product(s).","Veuillez sélectionner le(s) produit(s).",,"Please select product(s).",WAHR
"Please select products for attributes update","Veuillez sélectionner des produits pour la mise à jour des attributs",,"Please select products for attributes update",WAHR
"Please set up merge date/time","Veuillez définir la fusion date/heure",,"Please set up merge date/time",WAHR
"Please set up merge date/time later then present date","Veuillez mettre en place une fusion date/heure ultérieure à la date actuelle",,"Please set up merge date/time later then present date",WAHR
"Please specify date required option(s).","Veuillez spécifier l'(les) option(s) requise(s) pour la date.",,"Please specify date required option(s).",WAHR
"Please specify the number of products, that will not be divided into subintervals.","Veuillez spécifier le nombre de produits qui ne seront pas divisés en sous-intervalles.",,"Please specify the number of products, that will not be divided into subintervals.",WAHR
"Please specify the product required option(s)","Veuillez spécifier l'option/ les options requise(s) pour le produit",,"Please specify the product required option(s)",WAHR
"Please specify the product required option(s).","Veuillez spécifier l'option/les options requise(s) pour le produit.",,"Please specify the product required option(s).",WAHR
"Please specify the product\'s option(s).","Veuillez spécifier les options du produit.",,"Please specify the product\'s option(s).",WAHR
"Please specify the product\'s required option(s).","Veuillez spécifier l'option/les options requise(s) du produit.",,"Please specify the product\'s required option(s).",WAHR
"Please specify the quantity of product(s).","Veuillez spécifier la quantité de produit(s).",,"Please specify the quantity of product(s).",WAHR
"Please specify time required option(s).","Veuillez spécifier les options dépendant du temps.",,"Please specify time required option(s).",WAHR
"Please wait...","Veuillez patienter...",,"Please wait...",WAHR
"Position","Position",,"Position",WAHR
"Position in Layered Navigation","Position dans la navigation par niveau",,"Position in Layered Navigation",WAHR
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc navigation par niveaux",,"Position of attribute in layered navigation block",WAHR
"Prev","Préc",,"Prev",WAHR
"Previous","Précédent",,"Previous",WAHR
"Price","Prix",,"Price",WAHR
"Price From","Price From","+","Price From",WAHR
"Price Navigation Step Calculation","Calcul Prix Etape de Navigation",,"Price Navigation Step Calculation",WAHR
"Price Type","Type de prix",,"Price Type",WAHR
"Price is not available","Le prix n'est pas disponible",,"Price is not available",WAHR
"Price values for options should be specified in system base currency.","Les valeurs des prix pour les options devraient être définies dans une devise de base du système",,"Price values for options should be specified in system base currency.",WAHR
"Price:","Prix:",,"Price:",WAHR
"Price: %s","Prix : %s",,"Price: %s",WAHR
"Print This Page","Imprimer cette page",,"Print This Page",WAHR
"Product","Produit",,"Product",WAHR
"Product API","Produit API",,"Product API",WAHR
"Product Alerts","Alertes produit",,"Product Alerts",WAHR
"Product Attribute","Attribut de produit",,"Product Attribute",WAHR
"Product Attributes","Attributs Produit",,"Product Attributes",WAHR
"Product Categories","Catégories Produit",,"Product Categories",WAHR
"Product Description","Description du produit",,"Product Description",WAHR
"Product Extra Info","Informations supplémentaires sur le produit",,"Product Extra Info",WAHR
"Product Flat Data","Données fixes du produit",,"Product Flat Data",WAHR
"Product ID","ID produit",,"Product ID",WAHR
"Product Image","Image du Produit",,"Product Image",WAHR
"Product Image Placeholders","Paramètres Image du Produit",,"Product Image Placeholders",WAHR
"Product Image Watermarks","Filigranes Image du Produit",,"Product Image Watermarks",WAHR
"Product Images","Images du Produit",,"Product Images",WAHR
"Product Images API","Images API du Produit",,"Product Images API",WAHR
"Product In Websites","Produit dans les Sites Internet",,"Product In Websites",WAHR
"Product Info Column","Colonne d'informations du Produit",,"Product Info Column",WAHR
"Product Information","Information produit",,"Product Information",WAHR
"Product Link Block Template","Produit Lien Modèle Bloc",,"Product Link Block Template",WAHR
"Product Link Inline Template","Produit Lien Modèle Conforme",,"Product Link Inline Template",WAHR
"Product Listing Sort by","Liste des Produits triés par",,"Product Listing Sort by",WAHR
"Product Name","Nom du produit",,"Product Name",WAHR
"Product Prices","Prix des Produits",,"Product Prices",WAHR
"Product Reviews","Avis sur le produit",,"Product Reviews",WAHR
"Product Tags","Étiquettes des produits",,"Product Tags",WAHR
"Product Tier Price API","Produit Niveau de Prix API",,"Product Tier Price API",WAHR
"Product Type","Type de Produit",,"Product Type",WAHR
"Product URL Suffix","Suffixe URL du produit",,"Product URL Suffix",WAHR
"Product View Extra Hint","Vue par produit trace supplémentaire",,"Product View Extra Hint",WAHR
"Product attribute sets API","Jeux d'attributs Produit API",,"Product attribute sets API",WAHR
"Product attributes API","Attributs API du produit",,"Product attributes API",WAHR
"Product collection expected.","Collection du produit attendu.",,"Product collection expected.",WAHR
"Product is not loaded","Le produit n'est pas chargé",,"Product is not loaded",WAHR
"Product links API (related, cross sells, up sells)","API de liens de produits (liés, ventes croisées ...)",,"Product links API (related, cross sells, up sells)",WAHR
"Product name","Nom du produit",,"Product types API",FALSCH
"Product types API","Types API du produit",,"Product with this combination of attributes already associated to configurable.",FALSCH
"Product with this combination of attributes already associated to configurable.","Les produits avec cette combinaison d'attributs sont déjà associés à configurable.",,"Products",FALSCH
"Products","Produits",,"Products Comparison List",FALSCH
"Products Comparison List","Liste de comparaison des produits",,"Products Information",FALSCH
"Products Information","Information des produits",,"Products Reviews",FALSCH
"Products Reviews","Avis sur les produits",,"Products Sitemap",FALSCH
"Products Sitemap","Plan du site produits",,"Products only",FALSCH
"Products only","Produits seulement",,"Products per Page on Grid Allowed Values",FALSCH
"Products per Page on Grid Allowed Values","Produits par page sur les valeurs autorisées des lignes",,"Products per Page on Grid Default Value",FALSCH
"Products per Page on Grid Default Value","Produits par page sur les valeurs par défaut des lignes",,"Products per Page on List Allowed Values",FALSCH
"Products per Page on List Allowed Values","Produit par page sur les valeurs autorisées des listes",,"Products per Page on List Default Value",FALSCH
"Products per Page on List Default Value","Produits par page sur la valeur par défaut de la liste",,"Properties",FALSCH
"Properties","Propriétés",,"Qty",FALSCH
"Qty","Qté",,"Qty Increments",FALSCH
"Qty Increments","Augmentation de la quantité",,"Qty Uses Decimals",FALSCH
"Qty Uses Decimals","La quantité utilise des décimales",,"Qty for Item\'s Status to Become Out of Stock",FALSCH
"Qty for Item\'s Status to Become Out of Stock","Nombre de statuts de produits bientôt épuisés",,"Qty:",FALSCH
"Qty for Item\'s Status to become Out of Stock","Nombre de statuts de produits bientôt épuisés",,"Quantity",FALSCH
"Qty:","Qté:",,"Quick Create",FALSCH
"Quantity","Quantité",,"Quick Overview",FALSCH
"Quick Create","Création Rapide",,"Quick simple product creation",FALSCH
"Quick Overview","Vue générale rapide",,"Records for ""%s"" store found.",FALSCH
"Quick simple product creation","Création de produit rapide et simple",,"Recurring Payment Profile",FALSCH
"Records for ""","Enregistrements pour """,,"Redirect",FALSCH
"Records for ""%s"" store found.","Enregistrements trouvés pour ""%s"" boutique.",,"Redirect URL",FALSCH
"Redirect","Redirection",,"Regular Price:",FALSCH
"Redirect URL","Rediriger l'adresse URL",,"Related Products",FALSCH
"Regular Price:","Prix normal",,"Remove",FALSCH
"Related Products","Produits apparentés",,"Remove Product From Websites",FALSCH
"Remove","Supprimer",,"Remove This Item",FALSCH
"Remove Product From Websites","Supprimer le produit des sites web",,"Remove attribute from attribute set",FALSCH
"Remove This Item","Retirer cet article",,"Remove attribute set",FALSCH
"Remove attribute from attribute set","Supprimer un attribut de l'ensemble des attributs",,"Remove custom option",FALSCH
"Remove attribute set","Supprimer un ensemble d'attributs",,"Remove group from attribute set",FALSCH
"Remove custom option","Supprimer l'option personnalisée",,"Remove option",FALSCH
"Remove group from attribute set","Supprimer un groupe de l'ensemble des attributs",,"Remove product assignment",FALSCH
"Remove option","Retirer l'option",,"Remove product image",FALSCH
"Remove product assignment","Supprimer l'affectation du produit",,"Remove product link",FALSCH
"Remove product image","Enlever l'image du produit",,"Remove value from custom option",FALSCH
"Remove product link","Supprimer le lien du produit",,"Rename existing group",FALSCH
"Remove value from custom option","Retirer la valeur de l'option personnalisée",,"Rename group",FALSCH
"Rename existing group","Renommer un groupe existant",,"Reorganize EAV category structure to flat structure",FALSCH
"Rename group","Renommer un groupe",,"Reorganize EAV product structure to flat structure",FALSCH
"Reorganize EAV category structure to flat structure","Réorganiser la structure de la catégorie EAV en structure plate",,"Reset",FALSCH
"Reorganize EAV product structure to flat structure","Réorganiser la structure du produit EAV en structure plate",,"Results",FALSCH
"Reset","Réinitialiser",,"Results per page",FALSCH
"Results","Résultats",,"Retrieve attribute data",FALSCH
"Results per page","Résultats par page",,"Retrieve attribute list",FALSCH
"Retrieve attribute data","Récupérer les données d'attributs",,"Retrieve attribute options",FALSCH
"Retrieve attribute list","Extraire la liste de l'attribut",,"Retrieve categories tree",FALSCH
"Retrieve attribute options","Extraire les options de l'attribut",,"Retrieve category attributes",FALSCH
"Retrieve categories tree","Récupérer l'arbre des catégories",,"Retrieve category data",FALSCH
"Retrieve category attributes","Extraire les attributs de la catégorie",,"Retrieve hierarchical tree",FALSCH
"Retrieve category data","Extraire les données de la catégorie",,"Retrieve linked products",FALSCH
"Retrieve hierarchical tree","Extraire l'arborescence hiérarchique",,"Retrieve list of assigned products",FALSCH
"Retrieve linked products","Extraire les produits apparentés",,"Retrieve list of option values",FALSCH
"Retrieve list of assigned products","Extraire la liste des produits affectés",,"Retrieve list of product custom options",FALSCH
"Retrieve list of option values","Récupérer la liste des valeurs d'option",,"Retrieve one level of categories by website/store view/parent category",FALSCH
"Retrieve list of product custom options","Récupérer la liste des options personnalisées de produit",,"Retrieve option value info",FALSCH
"Retrieve one level of categories by website/store view/parent category","Extraire un niveau de catégorie par site web/magasin/catégorie apparentée",,"Retrieve product",FALSCH
"Retrieve option value info","Récupérer les informations sur la valeur optionnelle",,"Retrieve product attribute sets",FALSCH
"Retrieve product","Extraire le produit",,"Retrieve product image",FALSCH
"Retrieve product attribute sets","Récupérer les ensembles d'attributs du produit",,"Retrieve product image list",FALSCH
"Retrieve product image","Extraire l'image du produit",,"Retrieve product image types",FALSCH
"Retrieve product image list","Récupérer la liste image du produit",,"Retrieve product link type attributes",FALSCH
"Retrieve product image types","Extraire les types d'images du produit",,"Retrieve product link types",FALSCH
"Retrieve product link type attributes","Extraire les attributs du type de lien du produit",,"Retrieve product tier prices",FALSCH
"Retrieve product link types","Extraire les types de lien du produit",,"Retrieve product types",FALSCH
"Retrieve product tier prices","Extraire les niveaux de prix du produit",,"Retrieve products data",FALSCH
"Retrieve product types","Extraire les types de produit",,"Retrieve products list by filters",FALSCH
"Retrieve products data","Récupérer les données produits",,"Reviews",FALSCH
"Retrieve products list by filters","Extraire la liste des produits par filtrage",,"Roll Over for preview",FALSCH
"Reviews","Commentaires",,"Root",FALSCH
"Roll Over for preview","Passez votre souris par-dessus pour la prévisualisation",,"SKU",FALSCH
"Root","Racine",,"SKU length should be %s characters maximum.",FALSCH
"SKU","UGS",,"Save",FALSCH
"SKU length should be %s characters maximum.","La longueur de l'UGS doit être de %s caractères maximum.",,"Save Attribute",FALSCH
"Save","Sauvegarder",,"Save Attribute Set",FALSCH
"Save Attribute","Sauvegarder Attribut",,"Save Category",FALSCH
"Save Attribute Set","Enregistrer l'ensemble d'attributs",,"Save Search",FALSCH
"Save Category","Sauvegarder catégorie",,"Save and Continue Edit",FALSCH
"Save Search","Sauvegarder recherche",,"Saved %d record(s)",FALSCH
"Save and Continue Edit","Sauvegarder et continuer l'édition",,"Scope",FALSCH
"Saved %d record(s)","Sauvegardé %d enregistrement(s)",,"Scope must not be changed, because the attribute is used in configurable products.",FALSCH
"Scope","Portée",,"Search",FALSCH
"Scope must not be changed, because the attribute is used in configurable products.","Le champ ne doit pas être changé, car l'attribut est utilisé dans des produits configurables.",,"Search Engine Optimizations",FALSCH
"Search","Rechercher",,"Search Information",FALSCH
"Search Engine Optimizations","Optimisations du Moteur de Recherche",,"Search Query",FALSCH
"Search Information","Informations de recherche",,"Search Term with such search query already exists.",FALSCH
"Search Query","Demande de recherche",,"Search Weight",FALSCH
"Search Term with such search query already exists.","Le terme recherché avec la même interrogation existe déjà.",,"Searchable",FALSCH
"Search Weight","Recherche de poids",,"See price before order confirmation.",FALSCH
"Searchable","Consultable",,"Select Category...",FALSCH
"See price before order confirmation.","Voir le prix avant la confirmation de commande.",,"Select Configurable Attributes ",FALSCH
"Select Category...","Sélectionner Catégorie",,"Select Product...",FALSCH
"Select Configurable Attributes ","Sélectionner les attributs configurables",,"Select type of option",FALSCH
"Select Product...","Sélectionner Produit...",,"Select type options required values rows.",FALSCH
"Select type of option","Sélectionner le type d'option",,"Selected Product Types",FALSCH
"Select type options required values rows.","La sélection du type d'options a requis des rangs de valeurs.",,"Send Count",FALSCH
"Selected Product Types","Types de Produits Sélectionnés",,"Set Ascending Direction",FALSCH
"Selected configuration is not available.","Selected configuration is not available.","+","Set Descending Direction",FALSCH
"Send Count","Envoyer Compte",,"Set Name",FALSCH
"Set Ascending Direction","Par ordre croissant",,"Set Product as New from Date",FALSCH
"Set Descending Direction","Définir Direction Descendante",,"Set Product as New to Date",FALSCH
"Set Name","Définir le nom",,"Set Root Category for Store",FALSCH
"Set Product as New from Date","Set Product as New from Date","+","Set root category for this store in the <a href=""%s"">configuration</a>",FALSCH
"Set Product as New to Date","Set Product as New to Date","+","Set special price",FALSCH
"Set Root Category for Store","Sélectionner Catégorie d'Origine pour Boutique",,"Set/Get current store view",FALSCH
"Set root category for this store in the <a href=""%s"">configuration</a>","Définir une catégorie source pour ce magasin dans la <a href=""%s"">configuration</a>",,"Settings",FALSCH
